nominal_duration,plan_duration
38.20100021362305,131.8127098083496
67.50099849700928,163.47268915176392
84.78400039672852,123.70813488960266
81.44800186157227,109.69722771644592
97.07699775695801,120.46700119972229
97.51300239562988,130.6710183620453
88.98799896240234,116.50399208068848
107.29899597167969,132.1160864830017
111.25899887084961,122.55128145217896
118.16500091552734,124.4946858882904
120.11799812316895,121.30618262290955
112.6359977722168,159.10218691825867
96.61100006103516,138.7003903388977
99.6409969329834,114.49423742294312
102.37699699401855,119.28159546852112
111.9940013885498,126.6964168548584
104.8850040435791,119.09050178527832
103.8690013885498,119.46941423416138
103.92599868774414,117.28699684143066
102.1719970703125,116.7146577835083
101.41100120544434,119.90097784996033
103.26300239562988,122.70880961418152
104.80399894714355,129.48224186897278
106.30600166320801,123.48702502250671
107.2810001373291,122.08648347854614
