nominal_duration,plan_duration
56.22999954223633,143.41368055343628
139.0776023864746,155.01539945602417
146.26536178588867,149.01701521873474
145.26231575012207,135.41968369483948
137.22725677490234,146.21472311019897
140.3905792236328,157.0164713859558
147.75667762756348,165.6167311668396
157.592134475708,149.619695186615
148.58778953552246,148.6148383617401
147.03038787841797,144.61917996406555
142.0160312652588,146.01380920410156
142.03180313110352,159.417254447937
150.07664489746094,144.81926774978638
144.56939125061035,149.0212483406067
143.86370468139648,169.42082858085632
159.66019439697266,158.41709280014038
155.73130798339844,140.01979780197144
141.34359550476074,154.2180199623108
146.82439422607422,147.21817803382874
143.8179817199707,152.61718606948853
147.02710151672363,154.41899800300598
148.22823905944824,145.22147822380066
143.8442611694336,164.81897020339966
154.67229652404785,163.4198019504547
156.38557052612305,165.02377486228943
159.58304023742676,153.422367811203
152.88926124572754,156.22283101081848
151.85743141174316,145.41928839683533
145.5966339111328,147.0227255821228
143.72503089904785,161.8284854888916
151.34149360656738,151.619961977005
151.71200561523438,149.82012510299683
145.65849494934082,158.42335557937622
152.5687313079834,160.0263741016388
152.42216300964355,166.02113604545593
158.05804443359375,154.22590160369873
154.24803924560547,148.82724261283875
147.17165184020996,155.82874083518982
149.49219131469727,156.02513694763184
150.71038055419922,141.62354063987732
143.7882251739502,141.43094635009766
138.64909172058105,147.42580580711365
141.0708351135254,149.42445302009583
142.83793830871582,148.82632112503052
143.94555282592773,149.02574610710144
145.6719799041748,149.42536783218384
144.3231372833252,149.2261323928833
145.19949531555176,144.42989706993103
140.79800605773926,151.63295984268188
144.39852714538574,156.82791876792908
