nominal_duration,plan_duration
56.22999954223633,159.21849608421326
129.4016056060791,150.6199448108673
129.95246696472168,146.2242922782898
138.45036506652832,153.2256157398224
131.31347274780273,149.817880153656
130.6048355102539,145.01638555526733
131.1567497253418,145.41696691513062
129.87872505187988,171.01384115219116
129.71635627746582,151.01960277557373
130.27087211608887,142.8171570301056
131.29458618164062,159.61424374580383
130.07632064819336,148.81735754013062
130.3428440093994,142.01920557022095
130.09260749816895,156.01798391342163
131.05175971984863,153.01785230636597
129.8416042327881,165.82284116744995
129.6811237335205,150.0166552066803
131.31711196899414,140.2177140712738
131.59618949890137,156.81771063804626
136.46146965026855,147.42068481445312
130.884916305542,143.6193618774414
130.82252883911133,160.21914649009705
130.75385856628418,142.81850409507751
130.56902313232422,166.8243043422699
131.93608474731445,166.4209759235382
131.86238861083984,153.01996684074402
133.0511016845703,145.42527413368225
131.30431747436523,156.62434363365173
130.9709072113037,143.22612881660461
130.2991008758545,144.4219570159912
131.16278076171875,169.02310395240784
134.888334274292,164.2212040424347
134.65503692626953,147.62508535385132
137.17491912841797,145.62485218048096
131.8868064880371,170.41945791244507
129.57744216918945,163.6234951019287
128.69259071350098,178.830739736557
130.93001747131348,149.22429180145264
130.32939338684082,148.6254005432129
130.85151290893555,162.6313178539276
129.4469337463379,166.8259150981903
131.29678535461426,153.42597341537476
129.4981517791748,148.8291895389557
131.00860404968262,149.43394684791565
129.46781158447266,168.82814049720764
133.39693069458008,146.42752361297607
130.1132869720459,156.2287199497223
130.86175727844238,158.42750215530396
131.8107032775879,173.2295687198639
130.37947273254395,149.22966051101685
