nominal_duration,plan_duration
54.80499887466431,119.6113452911377
54.405001640319824,116.2491466999054
90.62799644470215,106.50325560569763
99.97400379180908,122.27659344673157
97.3499984741211,113.67397952079773
93.8030014038086,119.28984546661377
103.13699722290039,115.67209553718567
110.14399909973145,98.44884634017944
95.35099792480469,109.2772171497345
103.9280014038086,104.2530767917633
98.9249963760376,98.87352848052979
97.37999629974365,128.27536630630493
109.52000045776367,119.2759895324707
112.81999778747559,112.49076628684998
109.82799911499023,114.06998014450073
106.06999969482422,126.2377622127533
108.00800323486328,113.0890851020813
105.45800018310547,125.47756314277649
101.93800067901611,118.04793286323547
108.7030029296875,120.46330666542053
103.45999908447266,104.47443652153015
97.31300258636475,109.44168543815613
102.32900142669678,110.66843056678772
108.08100128173828,115.84011602401733
112.10299682617188,112.29972553253174
104.03600120544434,110.24796533584595
105.28499603271484,102.44327926635742
101.62300109863281,105.85354733467102
100.46899795532227,116.68158459663391
107.97700119018555,103.05421876907349
102.1349983215332,112.45855212211609
105.35599899291992,103.26612567901611
102.01199722290039,123.84995174407959
102.55700302124023,117.2503228187561
103.71399784088135,114.4509871006012
97.38500213623047,113.24043416976929
107.78999710083008,103.82653164863586
103.02000141143799,106.24275159835815
102.73299598693848,109.24303078651428
103.96300315856934,116.46351599693298
108.91500282287598,103.22105240821838
102.71800231933594,116.28707456588745
106.72599792480469,106.64654731750488
106.04000091552734,117.22555184364319
95.71899795532227,145.43097805976868
109.25200271606445,116.26237154006958
110.71299743652344,110.00543689727783
105.63899803161621,108.23106908798218
104.2339973449707,115.83278965950012
109.12899780273438,121.0366141796112
