nominal_duration,plan_duration
56.22999954223633,151.82353138923645
147.13971710205078,171.41962122917175
158.83231735229492,182.44089269638062
170.5732479095459,175.23259449005127
171.23028564453125,162.0361933708191
159.56772804260254,150.02341198921204
152.50940322875977,148.84177160263062
145.5845832824707,170.22171640396118
158.660005569458,164.83668327331543
159.01399040222168,149.22670722007751
150.63842582702637,172.6321473121643
160.25469779968262,162.6459379196167
159.80733489990234,175.64638352394104
164.86924934387207,155.64413475990295
156.5170021057129,149.42699313163757
149.99705696105957,158.23250007629395
151.86199188232422,165.0381338596344
156.61791610717773,169.04880833625793
161.43392372131348,173.4350984096527
167.1029815673828,151.03705167770386
152.75978660583496,144.42234230041504
144.87456130981445,160.62250137329102
166.15063095092773,159.2193591594696
144.9494457244873,168.43016505241394
158.85199546813965,151.42783069610596
