nominal_duration,plan_duration
54.80499887466431,142.61976075172424
54.405001640319824,116.03042197227478
94.34600162506104,112.26448678970337
91.60200119018555,102.62878274917603
93.16699981689453,105.29677629470825
93.11600112915039,105.68862724304199
94.85300064086914,107.87816858291626
91.93099975585938,106.2212016582489
91.47700119018555,105.68677973747253
94.50100326538086,105.1180899143219
91.22900009155273,104.30771064758301
92.86199951171875,106.30890560150146
92.22100067138672,106.68122911453247
92.50300216674805,104.88697099685669
102.794997215271,122.2912015914917
90.36100006103516,104.89904594421387
90.7969970703125,104.27360439300537
91.0359992980957,109.50988388061523
103.35900211334229,119.11335062980652
91.29100036621094,105.93629598617554
93.5009994506836,102.31786632537842
92.21200180053711,105.2791178226471
103.26799964904785,112.68858337402344
91.86900329589844,105.43723249435425
101.15299987792969,119.30224704742432
99.72700262069702,106.89742970466614
102.46999645233154,103.47556781768799
98.49100160598755,111.3198082447052
102.63600254058838,107.84124255180359
97.6629991531372,118.70558953285217
97.5199990272522,107.4747428894043
97.91199684143066,107.42909717559814
98.54399728775024,114.0429174900055
103.49899959564209,113.63838696479797
91.50899887084961,106.67871928215027
95.41999816894531,106.26658511161804
95.9530029296875,103.68331241607666
91.82999801635742,106.46160817146301
108.28600025177002,136.04735374450684
103.07599639892578,114.0670919418335
91.96599960327148,108.6438307762146
91.55699920654297,110.86451029777527
91.13699722290039,106.05070209503174
102.48700046539307,118.25066876411438
91.93499755859375,107.28137183189392
90.7660026550293,109.44314908981323
101.4060001373291,124.42993068695068
97.88199853897095,132.05410432815552
98.21500062942505,126.84924554824829
102.70899677276611,105.25376749038696
