nominal_duration,plan_duration
56.22999954223633,139.61843752861023
135.33027458190918,151.22066617012024
142.5324993133545,154.81663417816162
148.01527404785156,179.01984167099
166.25975799560547,151.81679439544678
152.88826179504395,153.0352852344513
149.45770645141602,155.02374815940857
149.61360549926758,144.64933323860168
144.65183448791504,175.63253736495972
160.18497848510742,153.04016876220703
155.12641143798828,162.6245822906494
154.06923484802246,152.031672000885
150.77214241027832,163.84618473052979
156.16671752929688,169.43490600585938
163.7720069885254,169.42727708816528
161.5460548400879,147.03110146522522
