nominal_duration,plan_duration
56.22999954223633,140.61419796943665
136.3611011505127,162.22690510749817
147.58933639526367,153.43207216262817
148.4259796142578,176.63682532310486
161.92243576049805,149.4430592060089
151.58337020874023,171.82695817947388
160.79789543151855,165.42376351356506
160.52044868469238,161.07720494270325
157.7353801727295,175.64184427261353
165.36086654663086,183.2554841041565
175.37648963928223,165.05181908607483
163.26243782043457,157.25020599365234
156.79317092895508,173.64465236663818
