nominal_duration,plan_duration
50.60180139541626,110.25108671188354
137.1660976409912,216.63211703300476
103.13379955291748,154.43965864181519
129.3332977294922,130.03169298171997
125.8817024230957,128.23035669326782
127.46290016174316,136.04144430160522
150.9095973968506,177.63581895828247
181.26820755004883,184.63319730758667
129.97570037841797,156.4405553340912
179.2756929397583,162.0452959537506
105.99560356140137,153.2370524406433
179.81359577178955,177.03909635543823
126.36719989776611,130.2354292869568
149.21950149536133,150.8368480205536
104.16299819946289,105.83313870429993
92.88829708099365,149.44351840019226
127.92119979858398,99.24906802177429
154.02779865264893,165.63139247894287
149.84790515899658,153.62825393676758
99.25439739227295,108.04625964164734
151.60440254211426,149.44949746131897
140.3687973022461,132.2504527568817
98.11910057067871,100.03877854347229
177.06169891357422,179.64096355438232
107.5533037185669,106.23506951332092
177.71129608154297,190.84481835365295
158.3651943206787,172.85090732574463
158.87539386749268,197.0534427165985
124.73600387573242,148.0409951210022
178.97329425811768,158.44931435585022
103.7905044555664,120.23404693603516
126.76769733428955,147.84557390213013
130.91689682006836,133.65135622024536
112.2253007888794,105.85197758674622
107.62350082397461,112.63542699813843
147.62179946899414,129.04487013816833
156.11649799346924,159.2842755317688
156.85020446777344,166.251300573349
132.32129669189453,147.4436972141266
133.4907989501953,141.84948539733887
144.5797996520996,163.24407243728638
105.54530048370361,114.64217901229858
160.5065975189209,163.64778923988342
185.9717025756836,178.64834451675415
147.44189834594727,141.44387531280518
171.19660186767578,186.05299854278564
123.14929676055908,135.0447118282318
104.48139667510986,110.6343891620636
99.04560089111328,103.06018328666687
107.25439929962158,120.24428057670593
